event_id,year,longitude,latitude,intensity,loss
0,1,-94.68301542,28.05086714,34.32496402,901765476.2
1,1,-93.17589733,29.64311616,57.53605436,5961674471.0
2,1,-78.94182392,27.30654699,45.89435988,3450533798.0
3,3,-89.73746028,29.50547585,33.54926384,862271424.2
4,3,-92.81929333,28.8991696,36.92615467,875196788.1
5,4,-78.84603816,31.82301642,47.55086866,3450533798.0
6,4,-95.89004499,26.74827828,54.9864756,5749773962.0
7,4,-83.19955427,27.65586004,37.28991834,1205057041.0
8,5,-89.09648575,28.03771789,39.25400414,1289941312.0
9,5,-93.26962162,29.52730654,55.25552465,5961674471.0
10,10,-83.59818116,27.74734556,33.45810979,1205057041.0
11,10,-92.90119761,29.83759646,38.19034543,524354473.6
12,11,-88.71309839,28.55090841,39.21140759,903610268.5
13,11,-91.09414561,28.00246018,35.73810213,752759698.2
14,13,-84.9369996,29.66780959,59.62167293,14948036345.0
15,16,-87.74686522,29.24943771,51.63471015,7188343121.0
16,16,-90.76755501,29.29548053,35.10418783,582905238.1
17,18,-91.00434257,28.22651419,39.68263344,442883641.6
18,18,-96.71467775,26.00156402,37.83951177,764284144.1
19,20,-87.60313432,29.03628316,50.20615613,7188343121.0
20,20,-79.50839982,32.61589302,61.83180347,14948036345.0
21,22,-91.18534438,28.17181284,41.0150518,617178872.7
22,22,-90.82055189,28.79329972,40.42790502,535373176.7
23,23,-76.89185351,32.79398662,50.29122737,6613654285.0
24,24,-84.388733,29.65595438,41.49519602,947222683.7
25,26,-77.06807717,33.35571866,39.15486592,1112862749.0
26,27,-79.50544376,32.1631929,36.01683038,524354473.6
27,27,-84.53356655,29.27538726,40.49116814,947222683.7
28,28,-85.86856264,29.39264348,48.63512875,4661767010.0
29,29,-97.49927806,26.31561639,37.02215405,1049990012.0
30,31,-83.1023284,25.26760281,38.25571243,821323293.5
31,31,-90.47603023,27.94462097,35.5085688,621626472.3
32,33,-87.20050631,29.93354648,57.07249369,7188343121.0
33,34,-83.37433001,25.16453977,35.80966016,821323293.5
34,35,-84.18376259,30.23292333,37.87257389,947222683.7
35,38,-79.15469636,27.44079742,48.34721556,3450533798.0
36,38,-79.65150986,27.00337766,34.07096157,1361850958.0
37,39,-96.05067642,26.81616103,54.68785439,5749773962.0
38,39,-92.48348941,28.94109229,38.37497543,1487338883.0
39,39,-79.28111874,27.44447816,40.05697613,1361850958.0
40,40,-84.17041616,29.56948135,39.79249564,947222683.7
41,41,-76.44582986,34.85129457,55.70296904,6441419566.0
42,41,-84.09178475,29.52234364,40.58376097,947222683.7
43,41,-71.38452632,40.85584467,46.38641591,2733219431.0
44,43,-91.29932567,28.10205329,41.43587869,586210453.9
45,44,-78.56365716,31.72111408,35.40497711,524354473.6
46,47,-92.20194843,29.73594888,36.96057785,1270243919.0
47,47,-78.82493151,31.83571085,48.59874211,3450533798.0
48,48,-86.22567951,28.08167259,34.5819775,1624871268.0
49,48,-76.90018005,33.0975884,38.99998823,789122824.2
50,48,-80.38719612,29.4485596,65.35380185,14853619650.0
51,49,-87.46194223,29.87060478,57.9433885,7188343121.0
52,50,-88.00701639,28.62659855,41.63592015,1145385758.0
53,50,-91.54363194,27.72190558,55.23796295,8126555557.0
54,51,-74.24174476,35.70753468,46.886188,4224952563.0
55,51,-92.16516012,29.44842437,36.81908639,1377578370.0
56,51,-74.69245523,36.23051427,36.13792529,1316785465.0
57,51,-96.56632799,26.07367094,54.75153501,5749773962.0
58,51,-94.76227548,28.19134875,33.61758405,901765476.2
59,52,-86.44823039,29.29706639,46.84889602,4661767010.0
60,54,-74.84615006,36.18845159,33.28136252,1316785465.0
61,55,-73.88956652,36.36374184,38.65234787,1316785465.0
62,56,-94.96946852,28.55410523,38.00587377,901765476.2
63,56,-75.06035424,35.78995789,38.24460813,1316785465.0
64,56,-91.5663456,27.9687965,37.27430461,556389049.3
65,56,-84.41240539,28.88229013,33.21672042,947222683.7
66,56,-72.05230027,40.06300308,33.73442525,462562513.5
67,57,-96.51092166,26.05226414,34.69569718,986264749.2
68,57,-86.09292985,29.49250765,61.57439566,26234121822.0
69,58,-90.67076106,29.14387117,36.74665455,1859510733.0
70,58,-88.11528842,28.43912586,35.54652861,781400850.3
71,59,-79.27473132,31.61244936,67.10147869,14948036345.0
72,60,-90.58415142,28.21763458,41.89364099,790814380.2
73,60,-92.3555073,29.77478813,39.73807393,1018800977.0
74,61,-74.77818639,34.09701029,34.79883009,708957793.2
75,61,-71.56227123,40.53428948,33.77859281,462562513.5
76,61,-79.72864108,26.85706994,45.87798564,3450533798.0
77,61,-78.48932756,33.37509031,55.5810876,8097986358.0
78,62,-85.09478214,29.38636834,60.62957417,14948036345.0
79,63,-92.6484904,28.01166667,40.19506042,871750367.1
80,64,-72.93518029,40.3899913,46.06424741,3611421792.0
81,65,-80.20182084,29.16226317,61.21585732,14853619650.0
82,66,-82.85382777,25.76582024,36.78731884,821323293.5
83,67,-90.74671292,28.36369375,36.98321379,607453335.9
